MW_Ver_Vis,"MW,Ver","MW,Vis","Ver,Vis",MW,Ver,Vis
ABB,,,,,,
BBD,,,,,,
DDA,,,,,,
AAB,,,,,,
BBB,,,,,,
CBB,,,,,,
AAA,,,,,,
AAD,,,,,,
CCD,,,,,,
CDD,,,,,,
ADD,,,,,,
BCC,,,,,,
DBB,,,,,,
BAA,,,,,,
DDD,,,,,,
CCB,,,,,,
BBA,,,,,,
DAA,,,,,,
BDD,,,,,,
DCC,,,,,,
DDC,,,,,,
ACC,,,,,,
BBC,,,,,,
AAC,,,,,,
DDB,,,,,,
CCA,,,,,,
CCC,,,,,,
CAA,,,,,,
